size,M_all,R_succ,W_comp,Flps,Credits
1,196532,5394,4847,28,9694
3,196415,5384,4865,28,9730
7,195987,5317,4758,27,9516
10,196168,5334,4754,27,9508
30,198435,5274,4701,27,9402
60,199938,5106,4580,26,9160
100,125916,4872,4377,25,8754
200,64774,4458,4011,23,8022
300,43652,4088,3652,21,7304
400,32959,3790,3401,19,6802
500,26480,3471,3118,18,6236
600,22147,3283,2951,17,5902
700,19045,3058,2729,15,5456
800,16713,2856,2542,14,5084
900,14901,2672,2430,14,4860
