size,R_succ,R_valid,W_comp,Flps,Credits
1,5283,5026,5026,58,20104
2,10608,10000,5224,115,40000
3,15804,14908,5168,172,59632
4,21142,19351,5134,223,77404
5,26442,23778,5147,275,95112
6,31768,28535,5105,330,114140
7,37077,33000,5113,381,132000
8,42403,37236,5109,430,148944
9,46464,40484,5036,468,161936
