size,R_succ,R_valid,W_comp,Flps,Credits
2,10608,8968,4484,103,35872
3,15804,14690,4814,170,58760
4,21142,19253,4834,222,77012
5,26442,23730,4855,274,94920
6,31768,28514,4820,330,114056
7,37077,32985,4807,381,131940
8,42403,37233,4800,430,148932
9,46464,40473,4750,468,161892
