size,M_all,R_succ,W_comp,Flps,Credits
10_6,188569,5434,4833,0,0
10_7,188569,5434,4833,0,0
10_8,188569,5434,4833,0,0
10_9,188563,5406,4850,0,0
10_10,185175,5391,4907,0,0
10_11,184252,5352,4800,2,0
10_12,182657,5296,4891,28,9782
10_13,153992,5208,4629,267,106467
10_14,3321,866,774,447,178794
10_15,1491,3,3,17,6945
