size,M_all,R_succ,W_comp,Credits,Flps
weibull,191273,5395,4857,19428,56
gamma,191312,5399,4859,19436,56
lognormal,191269,5355,4809,19236,55
normal,191269,5355,4809,19236,55
hyperx,190992,5374,4845,19380,56
exp,190208,5357,4793,19172,55
