size,R_succ,R_valid,W_comp,Flps,Credits
4,21142,12776,3194,147,51104
5,26442,21121,3932,244,84484
6,31768,27322,4210,319,110488
7,37077,32656,4273,377,130624
8,42403,37068,4254,429,148272
9,46464,40415,4201,467,161660
