size,R_succ,R_valid,W_comp,Flps,Credits
3,15804,11820,3940,136,47280
4,21142,18275,4405,211,73100
5,26442,23368,4534,270,93472
6,31768,28408,4538,328,113632
7,37077,32941,4540,381,131764
8,42403,37203,4529,430,148812
9,46464,40467,4453,468,161868
