size,R_succ,R_valid,W_comp,Flps,Credits
3,15804,9990,3330,57,19980
4,20804,17131,4142,99,34262
5,26224,22903,4418,132,45806
6,31514,27928,4380,161,55856
7,36818,32825,4397,189,65650
8,42078,37446,4340,216,74892
