size,R_succ,R_valid,W_comp,Flps,Credits
5,26224,11430,2286,66,22860
6,31516,22648,3435,131,45296
7,36818,31011,3816,179,62022
8,42078,36781,3878,212,73562
9,47258,42006,3824,243,84012
